Registered Charity Name,Public Name,Status,Address,CORRECT Address,CORRECT CITY,City,Province,Postal Code,CRA Number,Organization Type,URL
Boys and Girls Club of Kingston & Area Inc.,Boys and Girls Club South East,Status,"1300 Bath Road, Unit A-2","1300 Bath Road, Unit A-2",Kingston,Kingston,Ontario,K7M4X4,140526369 RR 0001,Registered Charity,
Boys and Girls Club of Peel,Boys and Girls Club of Peel,Status,103-247 McMurchy Ave S,103-247 Mcmurchy Ave S,Brampton,Brampton,Ontario,L6Y1Z4,118814573 RR 0001,Registered Charity,
Breakaway Community Services ,Breakaway Community Services ,Status,21 Strickland Ave,21 Strickland Ave,Toronto ,Toronto ,Ontario,M6K 3E6,891536344 RR 0001,Registered Charity,https://breakawaycs.ca/
Business in the Streets,Business in the Streets,Status,"215 Spadina Avenue, 4th Floor","215 Spadina Avenue, 4Th Floor",Toronto ,Toronto ,Ontario,M5T 2C7,851436840 RR 0001,Registered Charity,www.businessinthestreets.com
Canadian MotherCraft Society,MothersCraft,Status,646 St. Clair Avenue West,646 St. Clair Avenue West,Toronto,Toronto,Ontario,M6C 1A9,124122979RR0001,Registered Charity,https://www.mothercraft.ca/
Central Okanagan Emergency Shelter Society,Kelowna Women's Shelter,Status,"PO Box 20193, RPO Towne Centre","Po Box 20193, Rpo Towne Centre",Kelowna,Kelowna,British Columbia,V1Y 9H2,118843473RR0001,Registered Charity,https://www.kelownawomensshelter.com
Child Development Institute,Child Development Institute,Status,197 Euclid Ave,197 Euclid Ave,Toronto,Toronto,Ontario,M6J 2J8,119292795RR0001,Registered Charity,https://www.childdevelop.ca/
Christie/ossington Neighbourhood Centre,Christie/ossington Neighbourhood Centre,Status,973 Lansdowne Avenue,973 Lansdowne Avenue,Toronto,Toronto,Ontario,M6H 3Z5,898720651 RR 0001,Registered Charity,https://www.conccommunity.org/
Community Care Peterborough,Community Care Peterborough,Status,185 Hunter Street East,185 Hunter Street East,Peterborough ,Peterborough ,Ontario,K9H 0H1,136680865 RR 0001,Registered Charity,https://www.commcareptbo.org/giveameal
Dawn House Services and Housing for Women Inc.,Dawn House,Status,965 Milford Drive,965 Milford Drive,Kingston,Kingston,Ontario,K7P 1S2,107007981 RR 0001,Registered Charity,https://www.dawnhouse.ca/wishlist
Dress for Success Central Alberta Women's Centre,Dress for Success - Calgary ,Status,5 - 5571 45 ST,5 - 5571 45 St,Red Deer ,Red Deer ,Alberta ,T4N1L2,836702209 RR 0001,Registered Charity,https://calgary.dressforsuccess.org/get-involved/donate/
Durham Alliance Outreach,Durham Alliance Outreach,Status,8-717 Wilson Road South,8-717 Wilson Road South,Oshawa,Oshawa,Ontario,L1H6E9,756405874 RR 0001,Registered Charity,https://www.durhamallianceoutreach.org/
Durham Children's Aid Foundation,Durham Children's Aid Foundation,Status,1320 Airport Blvd,1320 Airport Blvd,Oshawa,Oshawa,Ontario,L1J 0C6,854260940 RR 0001,Registered Charity,https://durhamcaf.ca/
Elspeth Heyworth Centre for Women (North York),Elspeth Heyworth Centre for Women (North York),Status,"2350 Finch Ave. West, Unit D","2350 Finch Ave. West, Unit D",North York,North York,Ontario,M9M 2C7,139096135 RR 0001,Registered Charity,https://ehcw.ca/
Equitable Action for Change,Equitable Action for Change,Status,,,Toronto,Toronto,Ontario,,NA,Nonprofit,https://www.equitablenow.ca/home-1
Ernestine's Women's Shelter ,Ernestine's Women's Shelter ,Status,"P.O. Box 141, Stn. B","P.O. Box 141, Stn. B",Etobicoke,Etobicoke,Ontario,M9W 5K9,10167 8969 RR0001,Registered Charity,https://ernestines.ca/
"Eshkiniigjik Naandwechigegamig, Aabiish Gaa Binjibaaying - ENAGB Youth Program",ENAGB Indigenous Youth Agency ,Status,"16 Phin, 145 Front St W","16 Phin, 145 Front St W",Toronto,Toronto,Ontario,M5J 1G2,734852916RR0001,Registered Charity,https://enagb-iya.ca/
Focus Foward for Indigenous Youth ,Focus Foward for Indigenous Youth ,Status,23 FOREST DRIVE,23 Forest Drive,Kingston ,Kingston ,Ontario,K7L 4V1,709167092RR0001,Registered Charity,https://www.focusforwardfiy.org/#getintouch
Food4Kids Mississauga ,Food4Kids Mississauga ,Status,1525 CUTHBERT AVENUE,1525 Cuthbert Avenue,Mississauga,Mississauga,Ontario,L5M 3R6,749801718 RR 0001,Registered Charity,https://www.food4kidsmiss.ca/
Fred Victor Centre,Fred Victor Centre,Status,"36 Lombard Street, Suite 300","36 Lombard Street, Suite 300",Toronto,Toronto,Ontario,M5C 2X3,118931377 RR 0001,Registered Charity,https://www.fredvictor.org/
Friends of Ruby ,Friends of Ruby ,Status,489 Queen Street East,489 Queen Street East,Toronto,Toronto,Ontario,M5A 1V1,709180889 RR 0001,Registered Charity,https://www.friendsofruby.ca/
Glowing Hearts Charity ,Glowing Hearts Charity ,Status,22 Armstrong Blvd,22 Armstrong Blvd,Barrie,Barrie,Ontario,L4N 4R5,753320092 RR 0001,Registered Charity,https://www.glowingheartscharity.org/
Greater Together Toronto ,Greater Together Toronto ,Status,,,Toronto,Toronto,Ontario,,NA,Community Organization ,https://www.facebook.com/greatertogethertoronto/
Hands in Service Canada ,Hands in Service Canada ,Status,1889 Springfield Rd #206,1889 Springfield Rd #206,Kelowna,Kelowna,British Columbia,V1Y 5V5,140946567 RR 0001,Registered Charity,https://handsinservice.ca/
Helping Out People Exploited Society,Hope of Kanagan (Hope Outreach),Status,"401-2750 Auburn Rd, Westbank","401-2750 Auburn Rd, Westbank",Okanagan,Okanagan,British Columbia,V4T 4C2,716171129RR0001,Registered Charity,https://www.hopeokanagan.com/contact
Hockey 4 Youth Foundation/fondation Hockey Pour Les Jeunes,Hockey 4 Youth Foundation/fondation Hockey Pour Les Jeunes,Status,720 Bathurst St. ,720 Bathurst St. ,Toronto,Toronto,Ontario,M5S 2R4,839107018 RR 0001,Registered Charity,https://hockey4youth.org/
Homes First Society,Homes First ,Status,"90 Shuter Street, Suite 206","90 Shuter Street, Suite 206",Toronto,Toronto,Ontario,M5B 2K6,118962182 RR 0001,Registered Charity,https://homesfirst.on.ca/
Jake's House for Autistic Children,Jake's House for Autistic Children,Status,"5750 Explorer Dr., Suite 102","5750 Explorer Dr., Suite 102",Mississauga,Mississauga,Ontario,L4W 0A9,862264223 RR 0001,Registered Charity,https://www.jakeshouse.ca/
"Jessie's, The June Callwood Centre for Young Women","Jessie's, The June Callwood Centre for Young Women",Status,205 Parliament St,205 Parliament St,Toronto ,Toronto ,Ontario,M5A 2Z4,118973734 RR 0001,Registered Charity,https://jessiescentre.org/
Keep6ix,Keep6ix,Status,,,Toronto ,Toronto ,Ontario,,NA,Community Organization ,https://www.keep6ix.org/
KidSport Canada,KidSport Calgary & Area,Status,423 - 145 PACIFIC AVE,423 - 145 Pacific Ave,Winnipeg ,Winnipeg ,Manitoba,R3B2Z6,86212 5986 RR0003,Registered Charity,https://kidsportcanada.ca/alberta/calgary/
LA Centre for Active Living ,LA Centre for Active Living ,Status,,,Toronto ,Toronto ,Ontario,,NA,Closed,
Little Warriors ,Little Warriors ,Status,P.O. Box 3184,P.O. Box 3184,Sherwood Park,Sherwood Park,Alberta ,T8H 2T2,845683168 RR 0001,Registered Charity,https://littlewarriors.ca/about/
Lumenus Community Services,Lumens,Status,"1126 Finch Avenue West, Unit 16","1126 Finch Avenue West, Unit 16",North York,North York,Ontario,M3J 3J6,88742 0990 RR0001,Registered Charity,https://www.lumenus.ca/
Made by Momma,Made by Momma/ The Happy Birthday Project,Status,66 21 Street NW,66 21 Street Nw,Calgary,Calgary,Alberta ,T2N 4T9,827110008 RR0001,Registered Charity,https://madebymomma.org/
Mamas for Mamas,Mamas for Mamas,Status,120-1735 DOLPHIN AVENUE,120-1735 Dolphin Avenue,Kelowna,KELOWNA,British Columbia,V1Y 8A6,819134982 RR0001,Registered Charity,https://www.mamasformamas.org/calgary/
Matthew House Refugee Services - Toronto,Matthew House,Status,981 DUNDAS ST W,981 Dundas St W,Toronto,Toronto,Ontario,M6J 1W4,891152944RR0001,Registered Charity,https://www.matthewhouse.ca/
Michael House Pregnancy and Parenting Support Services,Michael House Pregnancy and Parenting Support Services,Status,187 Bristol Street,187 Bristol Street,Guelph,Guelph,Ontario,N1H 3M2,859909137 RR 0001,Registered Charity,https://www.michaelhouse.ca/
Na-Me-Res (Native Men's Residence),Na-Me-Res (Native Men's Residence),Status,26 Vaughan Road,26 Vaughan Road,Toronto,Toronto,Ontario,M6G 2C4,119050516 RR 0001,Registered Charity,https://www.nameres.org/contact/
"Native Women's Resource Centre of Toronto, Inc. ",The Native Women's Resource Centre of Toronto (NWRCT),Status,191 Gerrard St E,191 Gerrard St E,Toronto,Toronto,Ontario,M5A 3E5,103838223RR0001,Registered Charity,https://nwrct.ca
Neighbours Helping Neighbours Society,Neighbours Helping Neighbours Society,Status,,,Toronto ,Toronto ,Ontario,,NA,Closed,
North York Women's Shelter ,North York Women's Shelter ,Status,940 Sheppard Ave W,940 Sheppard Ave W,North York,North York,Ontario,M3H 2T6,129819512 RR 0001,Registered Charity,https://nyws.ca/
Nova's Ark,Nova's Ark,Status,7505 Cedarbrook Trail,7505 Cedarbrook Trail,Whitby,Whitby,Ontario,L1M1L8,859161176 RR 0001,Registered Charity,https://novasark.ca/
Oasis Dufferin Community Centre,Oasis Dufferin Community Centre,Status,1219 Dufferin Street,1219 Dufferin Street,Toronto,Toronto,Ontario,M6H 4C2,140741414 RR 0001,Registered Charity,https://oasisdufferin.org/
Ocama Collective ,Ocama Collective ,Status,6 - 120 BALDWIN ST,6 - 120 Baldwin St,Toronto,Toronto,Ontario,M5T 1L6,714955275 RR 0001,Registered Charity,https://www.ocamacollective.com/
Outreach St George's Kingston,Lunch by George,Status,129 Wellington Street PO BOX 475,129 Wellington Street Po Box 475,Kingston,Kingston,Ontario,K7L 4W5,872941497RR0001,Registered Charity,https://lunchbygeorge.ca/
Parkdale Community Food Bank,Parkdale Community Food Bank,Status,1499 Queen Street West,1499 Queen Street West,Toronto,Toronto,Ontario,M6R 1A3,812016210 RR 0001,Registered Charity,https://www.pcfb.ca/
Parkdale Queen West Community Health Centre ,Parkdale Parents Primary Prevention Program ,Status,1229 Queen Street West,1229 Queen Street West,Toronto,Toronto,Ontario,M6K 1L2,124838004RR0001,Registered Charity,https://pqwchc.org/programs-services/community-services-and-programs/pregnancy-and-parenting-programs/parkdale-parents-primary-prevention-program-5ps/
Procyon Wildlife Rehabilitation and Education Centre,Procyon Wildlife Rehabilitation and Education Centre,Status,6441 7th Line,6441 7Th Line,Beeton,Beeton,Ontario,L0G 1A0,818086621 RR 0001,Registered Charity,https://www.procyonwildlife.com/
Project Good Karma,Project Good Karma,Status,,,Toronto,Toronto,Ontario,,NA,Community Organization ,https://www.instagram.com/projectgoodkarma/?hl=en
Project Hostel ,Yellow Brick House ,Status,4-52 West Beaver Creek Rd,4-52 West Beaver Creek Rd,Richmond Hill,Richmond Hill,Ontario,L4B1L9,11910 5187 RR0001,Registered Charity,
Quinte Humane Society,Humane Society of Hastings and Prince Edward County ,Status,34 Wallbridge Loyalist Rd,34 Wallbridge Loyalist Rd,Belleville,Belleville,Ontario,K8N 4Z2,898381439 RR 0001,Registered Charity,https://quintehumanesociety.com/wish-list.php
Recovery Acres (Calgary) Society,Recovery Acres,Status,1835 - 27th Avenue SW,1835 - 27Th Avenue Sw,Calgary,Calgary,Alberta ,T2T 1H2,11911 1961 RR0001,Registered Charity,https://www.recoveryacres.org/
Regeneration House Inc.,Regeneration Community Services ,Status,2445 Lake Shore Blvd W,2445 Lake Shore Blvd W,Etobicoke ,Etobicoke ,Ontario,M8V1C5,119113629 RR0001,Registered Charity,http://www.regenerationcs.org/
Reset Society of Calgary ,Reset Society of Calgary ,Status,#260 7220 Fisher Street SE,#260 7220 Fisher Street Se,Calgary,Calgary,Alberta ,T2H 2H8,898215884RR0001,Registered Charity,https://resetcalgary.ca/
Restoration and Empowerment for Social Transition Centre,REST Centres,Status,134 Queen St. E #406,134 Queen St. E #406,Brampton,Brampton,Ontario,L6V 1B2,811 570365 RR0001,Registered Charity,https://www.restcentres.org/
Rexdale Women's Centre,Rexdale Women's Shelter ,Status,"925 Albion Road, Suite 309","925 Albion Road, Suite 309",Etobicoke,Etobicoke,Ontario,M9V 1A6,119118297RR0001,Registered Charity,https://www.rexdalewomen.org/
Robertson House,Robertson House,Status,291 Sherbourne St.,291 Sherbourne St.,Toronto,Toronto,Ontario,M5A 2R9,NA,Community Organization ,
Room for a Child ,Room for a Child,Status,,,,,,,NA,Community Organization ,https://roomforachild.ca/
Ryandale Shelter for the Homeless,Ryandale Transitional Housing,Status,669 Victoria St,669 Victoria St,Kingston ,Kingston ,Ontario,K7K 1M8,868132275RR0001,Registered Charity,http://ryandale.ca/our-team/
Sakeenah Homes,Sakeenah Homes,Status,5659 McAdam Rd. Unit B4,5659 Mcadam Rd. Unit B4,Mississauga,Mississauga,Ontario,L4Z 1N9,776013310 RR 0001,Registered Charity,https://www.sakeenahhomes.com/
Seaton House,Travellers Shelter ,Status,339 George St.,339 George St.,Toronto,Toronto,Ontario,M5A 2N2,NA,Community Organization ,
Sedna Women's Shelter & Support Services Inc.,The Denise House,Status,King Stevenson Postal Outlet P.O. Box 30560,King Stevenson Postal Outlet P.O. Box 30560,Oshawa,Oshawa,Ontario,L1J 8L8,10796 5691 RR0001,Registered Charity,https://thedenisehouse.com/
Sistering-a Woman's Place ,Sistering,Status,962 Bloor St West,962 Bloor St West,Toronto,Toronto,Ontario,M6H 1L6,107983009 RR 0001,Registered Charity,https://sistering.org/
South Riverdale Community Health Centre ,South Riverdale Community Health Centre ,Status,955 Queen St E,955 Queen St E,Toronto,Toronto,Ontario,M4M 3P3,107997165 RR 0001,Registered Charity,https://www.srchc.ca/
SupportBlackCharities ,SupportBlackCharities ,Status,"1 Concord Gate, suite #702","1 Concord Gate, Suite #702",Toronto,Toronto,Ontario,M3C 3N6,NA,Nonprofit ,SupportBlackCharities.org
The Brock Street Mission Peterborough,The Brock Street Mission and Cameron House,Status,217 Murray St,217 Murray St,Peterborough,Peterborough,Ontario,K9H 2S5,119217388 RR 0001,Registered Charity,https://www.brockmission.ca/contact.html
The Busby Centre  ,The Busby Centre  ,Status,P O Box 1055,P O Box 1055,Barrie,Barrie,Ontario,L4M 5E1,892557752RR0001,Registered Charity,www.busbycentre.ca
The Children's Bookbank and Literacy Foundation,The Children's Bookbank and Literacy Foundation,Status,350 Berkeley Street,350 Berkeley Street,Toronto ,Toronto ,Ontario,M5A 2X5,844532952 RR 0001,Registered Charity,https://www.childrensbookbank.com/
"The Elizabeth Fry Society, Toronto Branch ",Elizabeth Fry ,Status,463 Carlaw Ave,463 Carlaw Ave,Toronto,Toronto,Ontario,M4K 3H9,119231306RR0001,Registered Charity,https://www.efrytoronto.org/
The Gilbert Centre for Social and Support Services,The Gilbert Centre for Social and Support Services,Status,555-80 BRADFORD ST,555-80 Bradford St,Barrie,Barrie,Ontario,L4N 6S7,892626342 RR 0001,Registered Charity,https://gilbertcentre.ca/
The Governing Council of the Salvation Army in Canada / Conseil de direction de l'Armée du Salut du Canada,Salvation Army New Hope Leslieville,Status,242 Scott St ,242 Scott St ,Fort Frances,Fort Frances,Ontario,P9A1G7,10795 1618 RR0001,Registered Charity,https://salvationarmy.ca/
The Mississauga Food Bank,The Mississauga Food Bank,Status,3121 Universal Drive,3121 Universal Drive,Mississauga,Mississauga,Ontario,L4X 2E2,118927011 RR 0001,Registered Charity,https://www.themississaugafoodbank.org/
The Peterborough Humane Society ,The Peterborough Humane Society ,Status,385 Lansdowne St E,385 Lansdowne St E,Peterborough ,Peterborough ,Ontario,K9L 2A3,119251056 RR 0001,Registered Charity,
The Reading Partnership,The Reading Partnership,Status,100 Galloway Rd.,100 Galloway Rd.,Scarborough,Scarborough,Ontario,M1E 1W7,727408932 RR 0001,Registered Charity,https://readingpartnership.com/
Three Oaks Foundation ,Three Oaks Shelter and Services ,Status,P.O Box 22162,P.O Box 22162,Belleville ,Belleville ,Ontario,K8N 5V7,108108119RR0001,Registered Charity,https://threeoaks.ca/
Thunder Woman Healing Lodge Society,Thunder Woman Healing Lodge Society,Status,413 Dundas Street East,413 Dundas Street East,Toronto,Toronto,Ontario,M5A 2A9,735053126 RR 0001,Registered Charity,https://www.twhls.ca
Toronto Rape Crisis Centre ,Toronto Rape Crisis Centre ,Status,P.O. Box 59098,P.O. Box 59098,Toronto,Toronto,Ontario,M6R 3B5,108122979 RR 0001,Registered Charity,https://trccmwar.ca/
Toronto Refugee Community Non-profit Homes and Services,Romero House,Status,1558 Bloor St W,1558 Bloor St W,Toronto,Toronto,Ontario,M6P 1A4,134470939RR0001,Registered Charity,https://romerohouse.org/
Urban Society for Aborignial Youth,Urban Society for Aborignial Youth,Status,Suite 211 - 811 Manning Road NE,Suite 211 - 811 Manning Road Ne,Calgary,Calgary,Alberta ,T2E 7L4,888713914RR0001,Registered Charity,https://usay.ca
Vaughan Community Information Services,Vaughan Food Bank ,Status,"5732 Hwy # 7, Units 3 & 4","5732 Hwy # 7, Units 3 & 4",Woodbridge,Woodbridge,Ontario,L4L 3A2,108169046RR0001,Registered Charity,https://www.vaughanfoodbank.ca/
Vita Centre,Vita Centre,Status,5659 McAdam Rd c2,5659 Mcadam Rd C2,Mississauga,Mississauga,Ontario,L4Z 1N9,891981235 RR 0001,Registered Charity,https://vitacentre.org/
Wag-A-Muffins Animal Rescue,Wag-A-Muffins Animal Rescue,Status,28 Mckenzie Lake Cres SE,28 Mckenzie Lake Cres Se,Calgary,Calgary,Alberta ,T2Z 2P2,NA,Nonprofit ,"https://www.wag-a-muffins.com/ are a small animal rescue organization that I know is always looking for pee pads, critter food, etc."
Wellington Pregnancy Care Centre ,Wellington Pregnancy Care Centre ,Status,280 St Patrick St W,280 St Patrick St W,Fergus ,Fergus ,Ontario,N1M 3E2,732888532 RR 0001,Registered Charity,
Women & Children's Shelter (Barrie),Womens and Children Shelter Barrie,Status,115 EDGEHILL DRIVE,115 Edgehill Drive,Barrie,Barrie,Ontario,L4N 1L9,129951588RR0001,Registered Charity,https://barrieshelter.com/donate/
Women's Habitat of Etobicoke,Women's Habitat,Status,140 Islington Avenue,140 Islington Avenue,Etobicoke,Etobicoke,Ontario,M8V 3B6,129122065 RR 0001,Registered Charity,https://womenshabitat.ca/
Women's Hostels Incorporated,Nellie's ,Status,970 Queen Street East PO Box 98118,970 Queen Street East Po Box 98118,Toronto,Toronto,Ontario,M4M1J8,119302727RR0001,Registered Charity,https://www.nellies.org/
WomensAide,WomensAide,Status,14 Herne Hill,14 Herne Hill,Toronto,Toronto,Ontario,M9A 2X1,NA,Community Organization ,http://www.womenaide.com/
Woodgreen Red Door Family Shelter,Red Door Family Shelter ,Status,21 Carlaw Avenue,21 Carlaw Avenue,Toronto,Toronto,Ontario,M4M 2R6,119303287 RR 0001,Registered Charity,https://www.reddoorshelter.ca/
Y.E.S.S.: Youth Emergency Shelter Society of Edmonton ,Yes Shelter ,Status,9310 82 AVE,9310 82 Ave,Edmonton ,Edmonton ,Alberta ,T6C 0Z6,129537437 RR 0001,Registered Charity,https://yesshelter.ca/
,,,,,,,,,,,
New Canadians Centre Peterborough,New Canadians Centre Peterborough Office,Active ,221 Romaine Street,221 Romaine Street,Peterborough ,Peterborough ,Ontario,K9J 2C3,119091940RR0001,Registered Charity,https://nccpeterborough.ca/
Calgary Drop-In & Rehab Centre Society,Calgary Drop In Centre,Active,1 Dermot Baldwin Way SE ,1 Dermot Baldwin Way Se ,Calgary,Calgary,Alberta ,T2G 0P8,11882 3459 RR0001,Registered Charity,https://calgarydropin.ca/donate/
